material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Rh_wyckoff,num_Rh_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,14,6,2.029637345934567,2.070423921323179,2.0457749776212992,0.014297646598101666,0.04078657538861208,97.84808910967351,36.85395161740328,37.1180778447295,175.6955829426601,6,1.0,11,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,15,6,2.0296373459345682,2.0704239213231794,2.0457749776212992,0.014297646598101692,0.04078657538861119,97.8480891096735,36.853951617403254,37.11807784472951,175.6955829426599,6,1.0,12,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,16,6,2.029637345934567,2.0704239213231785,2.0457749776212992,0.014297646598101793,0.040786575388611634,97.84808910967351,36.85395161740328,37.118077844729505,175.6955829426601,6,1.0,13,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,17,6,2.0230274751038566,2.0607382447960085,2.045425198881426,0.0161899152357331,0.037710769692151924,84.21868619554233,34.694312438666095,39.66454717302581,178.4079494717188,6,1.0,14,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,18,6,2.0423975232662563,2.06054340643499,2.0515081490053153,0.007408217477003788,0.01814588316873378,53.84470005899346,31.352321873994008,8.953803920767678,118.34850002739996,6,1.0,15,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,19,6,2.0423975232662563,2.060543406434991,2.0515081490053153,0.007408217477004148,0.018145883168734667,53.84470005899346,31.35232187399402,8.953803920767635,118.34850002739998,6,1.0,16,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,20,6,2.03951658675245,2.0450251887881326,2.0431889881095713,0.00259677990285909,0.005508602035682486,56.591566053894866,26.00411323992858,13.445834427961067,96.52677290251798,6,1.0,17,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,21,6,2.042397523266256,2.06054340643499,2.0515081490053153,0.00740821747700379,0.018145883168734223,65.66117841960781,38.796759433610525,8.27414595151114,124.46835964206147,6,1.0,18,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,22,6,2.0423975232662563,2.0605434064349906,2.0515081490053153,0.007408217477004058,0.018145883168734223,65.6611784196078,38.79675943361054,8.274145951511054,124.46835964206147,6,1.0,19,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,23,6,2.03951658675245,2.0450251887881326,2.0431889881095713,0.002596779902858776,0.005508602035682486,107.99999983901088,36.315330458909884,83.47322709748201,180.0,6,1.0,20,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,24,6,2.032525514956514,2.1636756611163217,2.0924191819954117,0.05665877678994969,0.1311501461598077,104.27014060691154,30.691237724058357,81.52449344745771,163.93009497261585,6,1.0,21,Octahedron
mp-1229239,BiRh7Pb2O15,2.027710017516178,0.0505821241863949,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"8h, 2a, 2b, 4e, 4d",1,6.0,Rh,1.0,False,25,6,2.0325255149565153,2.1636756611163213,2.0924191819954117,0.0566587767899496,0.1311501461598059,104.27014060691154,30.691237724058364,81.52449344745771,163.9300949726159,6,1.0,22,Octahedron
