material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ru_wyckoff,num_Ru_chemenvs,CN,element,charge_range,is_single_charge
mp-29683,Sr2Ru3O10,1.9203638636053888,0.2301419467477525,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"2h, 1a",1,6.0,Ru,1.0,False
mp-29683,Sr2Ru3O10,1.9203638636053888,0.2301419467477525,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"2h, 1a",1,6.0,Ru,1.0,False
mp-3222,La3RuO7,1.9326130724808537,0.2102931619815994,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-3258,Ca3Ru2O7,1.9673069337239115,0.0724672429258847,[6.0],4.0,4.0,4.0,Octahedron,4b,1,6.0,Ru,0.0,True
mp-36836,Sr4Ru2O9,1.7868309225382089,1.0008942074474647,[6.0],5.0,5.0,5.0,Octahedron,"2d, 2c",1,6.0,Ru,0.0,True
mp-37692,Li3RuO4,1.7704292415260563,1.2275210388987357,[6.0],5.0,5.0,5.0,Octahedron,2e,1,6.0,Ru,0.0,True
mp-37839,Li7RuO6,1.7787858633964722,1.1058852998691835,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-39249,BaLaMgRuO6,1.9994140684512467,-0.0666816998886323,[6.0],5.0,5.0,5.0,Octahedron,1c,1,6.0,Ru,0.0,True
mp-39259,BaLaZnRuO6,2.0862556774487326,-0.5067636169968318,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-4208,Ca2RuO4,1.207401785588175,1.958064834415821,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Ru,0.0,True
mp-4596,Sr2RuO4,2.3395402577843867,-0.8747941032583479,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-5032,La3Ru3O11,1.785880012106165,1.1858202494948784,[6.0],5.0,5.0,5.0,Octahedron,12g,1,6.0,Ru,0.0,True
mp-504468,Bi3Ru3O11,1.5067092218304905,1.5375688576929107,[6.0],4.33,4.33,4.33,Octahedron,12g,1,6.0,Ru,0.0,True
mp-5299,La2RuO5,1.909761541186817,0.3151481257213409,[6.0],4.0,4.0,4.0,Octahedron,4e,1,6.0,Ru,0.0,True
mp-541485,Ba3CaRu2O9,1.716106975579092,1.5192871206485323,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ru,0.0,True
mp-541720,Ba3DyRu2O9,1.649511549179111,1.240336114810649,[6.0],4.5,4.5,4.5,Octahedron,4f,1,6.0,Ru,0.0,True
mp-541721,Ba3ErRu2O9,1.6729003397040891,1.1591194960280928,[6.0],4.5,4.5,4.5,Octahedron,4f,1,6.0,Ru,0.0,True
