material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Te_wyckoff,num_Te_chemenvs,CN,element,charge_range,is_single_charge
mp-684017,Y2Te4O11,2.026844945333683,0.8794686476860395,[4.0],4.0,4.0,4.0,See-saw,4f,1,4.0,Te,0.0,True
mp-690979,Li9Nd6Sb3TeO24,1.9644767406740045,0.4996968454061024,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,Te,0.0,True
mp-695434,Li7Zr3Nb(TeO6)4,1.947263455685857,0.5360402171198255,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,Te,0.0,True
mp-696485,Na2TeHSO5F3,1.913951322628036,0.7851416015418418,[2.0],4.0,4.0,4.0,Square pyramid,4e,1,2.0,Te,0.0,True
mp-698479,RbTeHOF4,1.929495278060315,-0.0063677451800388,[1.0],4.0,4.0,4.0,Square pyramid,2a,1,1.0,Te,0.0,True
mp-704879,Ni5Te4(BrO6)2,2.0178634845342094,0.3767432115264018,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4f,1,3.0,Te,0.0,True
mp-706599,Sr6Te6O17,1.8822369984823613,-0.0700455596844367,"[2.0, 3.0]",3.67,3.67,3.67,"Angular, Triangular non-coplanar",4f,2,2.0,Te,0.0,True
mp-706599,Sr6Te6O17,1.8822369984823613,-0.0700455596844367,"[2.0, 3.0]",3.67,3.67,3.67,"Angular, Triangular non-coplanar",4f,2,3.0,Te,0.0,True
mp-707406,Rb6Te3P6(H13O20)2,1.9599778045660847,-0.0028894408284478,[6.0],6.0,6.0,6.0,Octahedron,"1a, 1g, 1f",1,6.0,Te,0.0,True
mp-710168,Te2Pb3(ClO3)2,1.999049337132925,0.518649576978919,"[3.0, 4.0]",4.0,4.0,4.0,"Square non-coplanar, Triangular non-coplanar",1a,2,3.0,Te,0.0,True
mp-710168,Te2Pb3(ClO3)2,1.999049337132925,0.518649576978919,"[3.0, 4.0]",4.0,4.0,4.0,"Square non-coplanar, Triangular non-coplanar",1a,2,4.0,Te,0.0,True
mp-720494,K4TeP4(HO2)10,1.95823346839254,0.0463579750352958,[6.0],6.0,6.0,6.0,Octahedron,2a,1,6.0,Te,0.0,True
mp-720921,Na2Te2H4O7,2.0897798414025743,0.67917805666756,[4.0],4.0,4.0,4.0,See-saw,2i,1,4.0,Te,0.0,True
mp-723043,K2TeH6SeO10,1.9600488913878096,0.0745135321443104,[6.0],6.0,6.0,6.0,Octahedron,2c,1,6.0,Te,0.0,True
mp-723466,Na2TeW2O9,2.0852607052737127,0.497741390729814,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",2a,2,3.0,Te,0.0,True
mp-723466,Na2TeW2O9,2.0852607052737127,0.497741390729814,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",2a,2,4.0,Te,0.0,True
mp-728623,Gd2Te4O11,2.0609961136593102,0.8956670559117883,[4.0],4.0,4.0,4.0,"See-saw, Triangular non-coplanar",1a,2,4.0,Te,0.0,True
mp-729272,Tm2Te5O13,2.0564708741700577,0.7593346256382318,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",1a,2,3.0,Te,0.0,True
mp-729272,Tm2Te5O13,2.0564708741700577,0.7593346256382318,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",1a,2,4.0,Te,0.0,True
mp-729275,Dy2Te4O11,2.0472972119043336,0.7273230800117366,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",1a,2,3.0,Te,0.0,True
mp-729275,Dy2Te4O11,2.0472972119043336,0.7273230800117366,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",1a,2,4.0,Te,0.0,True
mp-743878,Fe2Te4H3ClO12,1.9579685163352991,0.1031453880718659,[3.0],4.0,4.0,4.0,"See-saw, Triangular non-coplanar",2i,2,3.0,Te,0.0,True
mp-752526,Lu2TeO6,1.9189330815685488,0.2638080630692087,[6.0],6.0,6.0,6.0,Octahedron,4a,1,6.0,Te,0.0,True
mp-752611,LiNbTe2WO12,1.93589856482774,0.3420194042165466,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,Te,0.0,True
mp-753426,Li4Ti3Co3(TeO8)2,1.5585922193346446,1.3786335374905396,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Te,0.0,True
