material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Sb_wyckoff,num_Sb_chemenvs,CN,element,charge_range,is_single_charge
mp-1203691,Fe7Sb10(Br4O9)2,2.026013867020251,0.2856521141498026,"[3.0, 3.0, 4.0]",3.0,3.0,3.0,"Square pyramid, See-saw, Triangular non-coplanar",2i,3,3.0,Sb,0.0,True
mp-1203691,Fe7Sb10(Br4O9)2,2.026013867020251,0.2856521141498026,"[3.0, 3.0, 4.0]",3.0,3.0,3.0,"Square pyramid, See-saw, Triangular non-coplanar",2i,3,4.0,Sb,0.0,True
mp-1204373,TmSbMo2O9,1.8833321942637131,0.7937975410523673,[4.0],3.0,3.0,3.0,See-saw,4f,1,4.0,Sb,0.0,True
mp-1204842,CeSbMo2O9,1.846536050612773,0.946076089037108,[4.0],3.0,3.0,3.0,See-saw,4f,1,4.0,Sb,0.0,True
mp-1205344,PrSbO4,1.881670611442124,0.679285038274441,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Sb,0.0,True
mp-1205345,Sb2O3,2.070890963446094,0.3412009303234389,[4.0],3.0,3.0,3.0,See-saw,4e,1,4.0,Sb,0.0,True
mp-1207765,YSbO4,1.9191826503294247,0.3790045408378256,[6.0],5.0,5.0,5.0,Octahedron,2i,1,6.0,Sb,0.0,True
mp-1207793,Y3Sb5O12,1.972894938938816,0.4133563907592881,"[3.0, 4.0]",3.0,3.0,3.0,"See-saw, Octahedron","6e, 4c",2,3.0,Sb,0.0,True
mp-1207793,Y3Sb5O12,1.972894938938816,0.4133563907592881,"[3.0, 4.0]",3.0,3.0,3.0,"See-saw, Octahedron","6e, 4c",2,4.0,Sb,0.0,True
mp-1207831,TmSbO4,1.918394108690379,0.3707411399027503,[6.0],5.0,5.0,5.0,Octahedron,2i,1,6.0,Sb,0.0,True
mp-1207835,Tm3SbO7,1.9484034703700464,0.1103468175459065,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Sb,0.0,True
mp-1208460,TbSbO4,1.918279642300408,0.3870784811018792,[6.0],5.0,5.0,5.0,Octahedron,2i,1,6.0,Sb,0.0,True
mp-1208503,Tb3Sb5O12,1.973404049188894,0.417294440731789,"[3.0, 4.0]",3.0,3.0,3.0,"See-saw, Octahedron","6e, 4c",2,3.0,Sb,0.0,True
mp-1208503,Tb3Sb5O12,1.973404049188894,0.417294440731789,"[3.0, 4.0]",3.0,3.0,3.0,"See-saw, Octahedron","6e, 4c",2,4.0,Sb,0.0,True
mp-1209255,RbSb2PO8,1.9267301424609211,0.4804185916084427,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Sb,0.0,True
mp-1209317,RbB2SbO6,1.945948122131346,0.1783430297512946,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Sb,0.0,True
mp-1210360,Na3Sb3(PO7)2,1.918587811066628,0.3046279653299866,[6.0],5.0,5.0,5.0,Octahedron,"4e, 2a",1,6.0,Sb,0.0,True
mp-1210396,NaCu5Sb2As6(H9O17)2,1.9523811027666769,0.2806753877933515,[6.0],5.0,5.0,5.0,Octahedron,"1b, 1f",1,6.0,Sb,0.0,True
mp-1210508,Lu3SbO7,1.9478748558903412,0.088930845087692,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Sb,0.0,True
mp-1211549,La3SbO7,1.992995509586685,0.1758869157244737,[6.0],5.0,5.0,5.0,Octahedron,4c,1,6.0,Sb,0.0,True
mp-1211710,La3Sb5O12,1.9693633076291188,0.4767983465288813,"[3.0, 4.0]",3.0,3.0,3.0,"See-saw, Triangular non-coplanar","6e, 4c",2,3.0,Sb,0.0,True
mp-1211710,La3Sb5O12,1.9693633076291188,0.4767983465288813,"[3.0, 4.0]",3.0,3.0,3.0,"See-saw, Triangular non-coplanar","6e, 4c",2,4.0,Sb,0.0,True
mp-1212067,InSbO4,1.9275438863871424,0.4011761077399738,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Sb,0.0,True
