material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ge_wyckoff,num_Ge_chemenvs,CN,element,charge_range,is_single_charge
mp-769539,Li7VGeO8,1.7871219216852685,0.3426069704328168,[4.0],4.0,4.0,4.0,Tetrahedron,1a,1,4.0,Ge,0.0,True
mp-769597,Li2CoGe3O8,1.8045404236858,0.3004768893908697,[6.0],4.0,4.0,4.0,Octahedron,12b,1,6.0,Ge,0.0,True
mp-770379,Tm2GeO5,1.7094737138441136,0.5580207218247875,[5.0],4.0,4.0,4.0,Square pyramid,4c,1,5.0,Ge,0.0,True
mp-770409,Tm2GeO5,1.7501892911415542,0.2210198353935314,[4.0],4.0,4.0,4.0,Tetrahedron,4f,1,4.0,Ge,0.0,True
mp-771185,K2Ge2O5,1.7830090726482748,0.6192961100927807,[4.0],4.0,4.0,4.0,Tetrahedron,2a,1,4.0,Ge,0.0,True
mp-771248,Na2Ge2O5,1.760960665555498,0.5284588492302801,[4.0],4.0,4.0,4.0,Tetrahedron,4a,1,4.0,Ge,0.0,True
mp-771321,Cs4GeO4,1.7876904983125086,0.0781154213560853,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-772149,Sm2Ge2O7,1.7601881063944234,0.2978066140643559,[4.0],4.0,4.0,4.0,Tetrahedron,2i,1,4.0,Ge,0.0,True
mp-772769,Na2Ge2O5,1.773842819696431,0.5551450428925666,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-772793,Dy2Ge2O7,1.778799806151372,0.3814945177853014,[4.0],4.0,4.0,4.0,Tetrahedron,8b,1,4.0,Ge,0.0,True
mp-772811,Na2Ge2O5,1.7606736806584045,0.519742781238257,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-772812,Lu2GeO5,1.7762665965951296,0.4360338015774724,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-772840,Sm2Ge2O7,1.7805670842037813,0.4240137924398244,[4.0],4.0,4.0,4.0,Tetrahedron,8b,1,4.0,Ge,0.0,True
mp-772842,Na2Ge2O5,1.7846923559439116,0.603346782295913,[4.0],4.0,4.0,4.0,Tetrahedron,4a,1,4.0,Ge,0.0,True
mp-772863,Na2Ge2O5,1.7741842237847174,0.5695952051336183,[4.0],4.0,4.0,4.0,Tetrahedron,8d,1,4.0,Ge,0.0,True
mp-772864,Rb2Ge2O5,1.7682411425275255,0.4582744319715782,[4.0],4.0,4.0,4.0,Tetrahedron,8f,1,4.0,Ge,0.0,True
mp-772882,Dy2Ge2O7,1.7791379217306649,0.3308439681573283,[4.0],4.0,4.0,4.0,Tetrahedron,2i,1,4.0,Ge,0.0,True
mp-772981,Li2Zn3(Ge3O8)2,1.7614990931034251,0.4220824514311,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Ge,0.0,True
mp-773011,Dy2Ge2O7,1.774784845176454,0.3137623532601435,[4.0],4.0,4.0,4.0,Tetrahedron,4c,1,4.0,Ge,0.0,True
mp-773910,Er2GeO5,1.777474803521064,0.4853863440320339,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-774105,Ca5Ge3O11,1.764820778077229,0.304780072821703,[4.0],4.0,4.0,4.0,Tetrahedron,2i,1,4.0,Ge,0.0,True
mp-776074,CaGeO3,1.772201534712228,0.4723279602265797,[4.0],4.0,4.0,4.0,Tetrahedron,"4f, 2e",1,4.0,Ge,0.0,True
mp-776086,CaGeO3,1.776648731837314,0.557586157543742,[4.0],4.0,4.0,4.0,Tetrahedron,2i,1,4.0,Ge,0.0,True
mp-779716,Cs4GeO4,1.7888859066199196,0.14270206233509,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-779880,Ba2GeO4,1.787941247851459,0.0591112247794569,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-780010,Ba2GeO4,1.7654305204834286,0.2047245283250033,[4.0],4.0,4.0,4.0,Tetrahedron,4a,1,4.0,Ge,0.0,True
mp-780053,Na2Ge2O5,1.7781212687027612,0.5242605482312449,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
