material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Pb_wyckoff,num_Pb_chemenvs,CN,element,charge_range,is_single_charge
mp-1195239,B3Pb6BrO10,2.2707021154410367,0.2028138834501593,"[3.0, 3.0, 4.0]",2.0,2.0,2.0,"End-trigonal-face capped trigonal prism, See-saw, Square pyramid","4d, 8e",3,4.0,Pb,0.0,True
mp-1195317,Ba3B3Pb2ClO9,0.7121479858676804,1.6961285609422183,[6.0],2.0,2.0,2.0,End-trigonal-face capped trigonal prism,4c,1,6.0,Pb,0.0,True
mp-1195381,Zn3Te2P2(PbO7)2,2.4701548078558124,0.2304064515847578,[8.0],2.0,2.0,2.0,Square antiprism,4e,1,8.0,Pb,0.0,True
mp-1195693,P2PdPbO7,2.378693320634249,0.2177355512944496,[6.0],2.0,2.0,2.0,Octahedron,4c,1,6.0,Pb,0.0,True
mp-1195841,VPb2Se3O10,2.5402316592020417,0.1112593665117555,[6.0],2.0,2.0,2.0,"Square-face bicapped square antiprism, Face-capped octahedron",4e,2,6.0,Pb,0.0,True
mp-1195929,P3Pb5IO12,2.133958179852512,0.3961138885163926,"[5.0, 9.0]",2.0,2.0,2.0,"Square pyramid, Tricapped triangular prism (three square-face caps)","6h, 4f",2,5.0,Pb,0.0,True
mp-1195929,P3Pb5IO12,2.133958179852512,0.3961138885163926,"[5.0, 9.0]",2.0,2.0,2.0,"Square pyramid, Tricapped triangular prism (three square-face caps)","6h, 4f",2,9.0,Pb,0.0,True
mp-1196132,Mn3P4H2(PbO8)2,2.438755791923696,0.2089432238165091,[7.0],2.0,2.0,2.0,Dodecahedron with triangular faces - p2345 plane normalized,4e,1,7.0,Pb,0.0,True
mp-1196145,Al2Si2PbO8,2.901687542448937,-0.0421515996182027,"[8.0, 9.0]",2.0,2.0,2.0,"Cube, Tricapped octahedron (cap faces are aligned)",4e,2,8.0,Pb,0.0,True
mp-1196145,Al2Si2PbO8,2.901687542448937,-0.0421515996182027,"[8.0, 9.0]",2.0,2.0,2.0,"Cube, Tricapped octahedron (cap faces are aligned)",4e,2,9.0,Pb,0.0,True
mp-1196233,EuAl3(PbO4)2,1.6932042008352268,0.8719672961419354,[6.0],2.0,2.0,2.0,Trigonal prism,8e,1,6.0,Pb,0.0,True
mp-1196318,Cs2Li3B3P6(PbO12)2,1.919213231706942,0.5867423565947469,"[6.0, 9.0]",2.0,2.0,2.0,no_data,no_data,1,6.0,Pb,0.0,True
mp-1196318,Cs2Li3B3P6(PbO12)2,1.919213231706942,0.5867423565947469,"[6.0, 9.0]",2.0,2.0,2.0,no_data,no_data,1,9.0,Pb,0.0,True
mp-1196903,Cr2P4Pb3O16,2.30794657624554,0.205930924999198,"[4.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Cube","4e, 2a",2,4.0,Pb,0.0,True
mp-1196903,Cr2P4Pb3O16,2.30794657624554,0.205930924999198,"[4.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Cube","4e, 2a",2,8.0,Pb,0.0,True
mp-1196911,MnPb(SO4)2,1.777714595770306,0.6547938995617193,[10.0],2.0,2.0,2.0,Bicapped square prism (adjacent faces),4a,1,10.0,Pb,0.0,True
mp-1196917,B2Mo(PbO2)6,2.3923777327221294,0.1984039867914219,"[5.0, 7.0]",2.0,2.0,2.0,"Square pyramid, Square-face capped trigonal prism","8h, 4g",2,5.0,Pb,0.0,True
